id,ROE,ROA,îÑè„çÇèÉóòâvó¶,âcã∆óòâvîÑè„çÇî‰ó¶,ëçéëéYâÒì]ó¶,CFîÑè„çÇî‰ó¶,EBITDAîÑè„çÇî‰ó¶,ICR,ïâç¬î‰ó¶,DEÉåÉVÉI,ó¨ìÆî‰ó¶,å≈íËî‰ó¶,îÑè„çÇêLÇ—ó¶,âcã∆óòâvêLÇ—ó¶,ÉgÅ[ÉrÉìÇÃQ
9413,9.46078817,6.508255379,3.872636152,4.998812862,1.056747712,5.674518888,7.717037674,199.7435897,4.445932509,5.520923464,2.134837826,22.57629985,4.879296305,-11.84791219,0.953238333
6466,8.197876149,6.146220516,5.867860412,5.849831683,0.65656407,5.254903255,9.686710568,78.07758847,2.940906373,0.858326446,2.862529462,47.86045479,-9.240742084,-42.02708436,0.619877306
7074,-234.7241337,-19.48085717,-10.01488531,-8.491551462,1.991522148,-8.0719651,-7.754017078,-644.4601449,4.229364852,50.95946203,1.099160207,205.2364808,-17.11628511,51.06685594,2.863478891
6897,-4.713274327,-3.352012568,-1.012238784,0.047977879,0.906833766,3.441102753,3.369657974,0.353350421,18.75687499,31.86529561,2.377652212,46.13811988,-2.391329055,-95.76676405,0.707830831
7352,19.92293091,6.732506557,2.734447043,4.536053538,2.120541119,3.869894541,5.780128587,30.33325935,36.56341508,106.2699102,1.835635658,2.466431009,26.49580341,72.67717331,4.459457898
5363,8.193997176,5.601631517,9.802028783,14.10298236,0.543896792,15.17286117,17.31719706,217.5845975,5.626443801,8.230292276,4.707749873,23.95995849,6.402478775,41.49742836,0.568459366
9418,19.31209068,7.25338938,4.711737464,8.204237618,1.596679106,8.375596812,11.25924674,40.75063613,26.57920872,91.8715602,2.159739365,24.99410686,19.48071026,11.01483433,2.030604265
5741,9.613174502,2.88018837,2.801314803,5.456551536,1.060031755,7.555109679,9.272002571,5.321648277,36.03616885,135.2509445,1.247733086,138.1347592,11.87301253,75.29430685,0.893088892
4208,8.954902785,4.08712799,-0.989313931,3.706845904,0.588385952,10.26947301,9.339115287,10.43063584,38.18272342,89.86160536,1.812557215,56.36544487,3.96487249,-19.64285714,0.76801318
3937,16.60966705,11.82199495,13.5372889,20.74707904,0.859549142,17.25494241,23.85437035,76.57121239,5.177356797,5.649531436,3.727708027,2.09027754,6.703196996,22.68629045,2.25990368
3858,-5.01859729,-3.484968451,2.200740361,2.331551572,1.152395428,4.743102391,5.297829872,51.00317125,1.895796406,40.39793861,3.439570997,3.858436893,18.9649379,34.83588805,1.442267712
6662,-22.38440524,-19.50129933,-39.97580064,-13.55123546,0.607876761,-7.850465777,-7.42119022,,0,0,9.208765248,0.038592872,21.60116683,31.93477837,2.309185246
8057,16.97567614,6.846675852,2.914954533,3.604456246,2.069917401,3.550162436,4.18299684,151.8625,1.672221682,8.710381584,1.425946988,15.06350286,21.26897892,30.74687904,1.155728993
6059,15.23767075,6.986921439,7.04764777,0.716398863,0.936123873,0.838216286,2.675365673,1.830226108,40.62473479,84.91743166,1.9387663,58.5296109,0.911666239,-64.60176691,0.734323501
1867,8.467330743,4.82427539,3.815549495,5.628577472,1.002066602,5.563658973,6.931895828,77.84751773,7.578525544,15.18322589,1.914218319,49.21017807,-9.312886614,9.956620557,0.658075057
9914,3.091424151,1.901891028,1.366838859,0.701092225,1.205060783,0.916812909,0.99189652,22.82550336,0.913275228,1.25931911,1.875727102,6.996897626,-13.06934021,-52.22385511,0.82497067
9888,3.404728155,1.146106089,1.844917967,3.523832835,0.967792106,3.282300195,4.706142514,14.2965796,23.39079246,81.86736271,1.328792986,45.98810982,-3.51620114,-14.9787185,0.830435178
7621,2.419954645,1.049360725,1.017049945,5.360807834,1.237485097,7.780858434,8.4422187,18.56318321,22.59990831,45.15838176,2.255135699,48.34004506,1.026772338,-18.92630869,2.400197684
3798,18.34610096,13.73731431,12.39112323,19.874271,1.071889588,16.87495266,20.59380444,,0,0,3.914590747,1.63032803,27.17202851,49.26052332,2.276419935
4235,4.464387141,2.043256733,3.824259232,7.882061013,0.530591698,12.32910037,16.250669,3.6,41.67879796,102.3589875,1.005596173,57.80955725,1.266259361,-42.7764041,0.840556763
3979,22.53287817,10.91130416,6.83561512,11.38479285,1.088916275,6.974723391,14.96066035,620.7681041,2.531944148,20.35703895,1.398828295,9.95890786,12.85541113,-42.39026442,2.359225664
6728,5.581187211,3.325316881,6.643337155,10.55919167,0.657597078,12.64809861,14.86081916,42.4368,14.26830764,19.47105811,2.683195072,34.42149777,-3.803305057,-10.90695331,1.080535743
6615,-14.10633706,-2.929671583,-1.900134912,1.629553275,1.728736054,2.906668284,4.170140521,3.418124006,43.12742781,399.3366301,0.993483361,234.0851526,0.494329304,5.18590998,0.906567248
7604,-15.52609402,-1.238577633,-1.302794457,1.869966269,1.226999361,3.495647751,4.700560497,4.275330243,72.6171836,1579.023354,0.741640492,1268.468975,-1.261805859,-32.84376811,1.247657483
1333,7.634741625,2.572917936,2.156900738,2.8167186,1.594414536,3.534202151,4.57524399,7.242431466,40.44473739,144.7312137,1.749893422,68.9165349,4.652974655,14.50214819,0.836839707
8746,-43.10778564,-32.26513732,2.451950229,3.850703286,1.460910392,2.463063116,3.9854561,,0,4.934106187,4.247299083,2.037135204,79.36034453,,0.605320213
5034,15.15717795,11.68038917,8.906284344,8.370474162,1.577959246,6.887381637,8.38335615,,0,0,3.9902011,0,31.4375745,138.559442,3.711802457
2597,9.498509592,4.348437009,4.199847199,4.424084189,1.082064605,6.685350176,7.211538551,67.01962449,7.33512635,16.02248529,1.334730156,73.94060736,24.12054117,31.94878387,1.452663811
8113,8.205938052,5.331448622,6.89889005,11.51884968,0.767528071,12.51168981,16.57646297,44.27978853,3.571685514,5.497385822,2.431086677,34.69815844,-4.420004024,-21.36238562,1.54446307
3566,13.42425319,9.662515783,5.250829687,7.651748126,1.913318849,7.094818889,8.42122254,325.7935205,5.756100821,7.997022366,2.991028493,36.79245528,17.43050625,68.62754743,1.539462423
6278,7.642691067,6.931815605,15.22220839,21.58097846,0.480830814,24.92966513,29.83692269,456.2105263,0.511326274,0.563764094,6.836252058,38.46721168,23.18284978,26.98505713,1.777030273
5949,-15.72843954,-6.326152323,-6.378524141,3.695859656,0.953600652,9.897438228,11.00940781,5.721388368,17.7367741,42.34031374,1.415536087,81.90347519,-1.502332286,11.6317379,0.679028196
3800,7.912140856,6.164344159,6.133987751,7.194077108,0.7508682,7.576241143,10.35367286,,0,0,3.692836249,0.647662237,-2.463123419,-17.81430775,1.180246955
3547,18.19266873,7.637303744,3.530276121,5.62198377,2.458740442,5.754705338,7.837196015,54.14191133,19.29196451,45.95500339,1.419667884,73.05319565,25.06668259,39.83998906,2.525930613
7128,2.623577806,1.62963596,1.199099575,2.126562539,1.337330401,1.695842451,3.228199904,338.2,1.362160314,2.192964354,2.027563504,34.12989943,-1.657226248,-12.38341969,0.831591499
4486,18.34068191,11.81555616,11.6906244,15.94395133,1.071732114,12.89211038,17.52956343,4709.134454,0.074074756,0.114982445,2.578862799,3.128450924,18.45346243,41.74345458,1.961011562
3557,-19.24486429,-1.656412267,0.920371414,1.780561557,1.640947369,4.279016206,5.025636728,4.394745846,69.0857499,,1.609644187,,5.242959787,118.4417401,2.001577036
7606,15.63945956,8.38436242,2.837452786,5.290570539,2.304585195,6.14472202,6.978331456,570.2857143,1.457163917,21.68107665,1.614002233,21.69429682,12.39377667,18.45697329,1.290774056
3222,-1.587175028,-0.839901796,-0.330476124,0.524092591,2.530170711,1.973414571,2.589023627,10.30816327,14.24668588,26.9221761,0.982816142,91.44569968,18.79628534,-15.50685848,0.939641657
8960,6.73146421,3.304783299,31.76813517,35.35526424,0.103987568,39.94510737,45.49933653,9.686101342,45.20143015,92.07012433,0.783606229,24.89100114,-0.31521047,3.215769681,1.283135911
2497,-6.475401289,-5.519133358,12.30047022,21.88585076,0.466614122,13.17638682,23.75271639,1133.443632,1.038581097,1.003046596,7.574025323,1.786175098,-4.279658749,-45.71276593,1.287531018
3103,69.15665746,7.205380446,-19.20956246,4.763825933,0.752977547,6.624423507,8.909034815,4.295292439,62.5972027,473.8775772,0.647990015,434.0291605,6.819276498,,0.955420032
