Date,Tesla,Nasdaq,GM,DJI,Mon,Tue,Wed,Thr,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov
2012/10/11,-0.28151458,-0.077659595,1.773243652,-0.139228488,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2012/10/12,-2.40095339,-0.173804113,-0.891727802,0.018459613,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2012/10/15,-1.12174182,0.659306004,0.158466807,0.715590617,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2012/10/16,2.671240395,1.207174513,1.268914255,0.950147606,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2012/10/17,2.704913213,0.095125388,1.090489672,0.038518925,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2012/10/18,-2.703420134,-1.006726544,1.987864329,-0.059452681,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2012/10/19,-1.06990205,-2.188507812,-3.786873325,-1.516207172,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2012/10/22,0.396900499,0.377293204,0.116275382,0.017836386,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2012/10/23,1.938955226,-0.878367628,-3.037597795,-1.823482735,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2012/10/24,-3.41686612,-0.292931522,-0.753517139,-0.192252947,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2012/10/25,0.36487965,0.148237583,-0.262222417,0.201417108,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2012/10/26,-0.509083377,0.061283539,-1.478466531,0.026938997,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2012/10/31,2.743065637,-0.358774411,9.542658077,-0.082015929,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2012/11/1,3.960221819,1.438585531,0.695155824,1.039670262,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2012/11/2,-1.118137941,-1.255935313,0.43830569,-1.053910715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012/11/5,8.92850659,0.58783487,-0.85817229,0.147252459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012/11/6,-1.110952381,0.409046359,2.423986744,1.016134297,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2012/11/7,1.252004411,-2.478145242,-4.426557359,-2.362657108,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2012/11/8,-0.729548622,-1.42001641,-1.245644916,-0.938780907,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2012/11/9,-3.161934146,0.320833823,1.298161857,0.031768779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012/11/12,2.473618855,-0.020999219,0.878226522,-0.002418967,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012/11/13,1.751048843,-0.701383485,-1.741676228,-0.459614766,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
