Date,700.HK,175.HK
2020/11/20,583.655,22.5509
2020/11/23,581.674,22.8438
2020/11/24,579.684,23.3803
2020/11/25,568.765,22.3556
2020/11/26,581.674,22.3556
2020/11/27,578.688,22.1604
2020/11/30,558.842,21.0371
2020/12/1,573.732,21.1347
2020/12/2,569.76,20.257
2020/12/3,584.65,20.11
2020/12/4,584.153,20.5499
2020/12/7,579.186,20.3546
2020/12/8,578.688,20.4522
2020/12/9,580.679,21.2323
2020/12/10,573.732,20.6958
2020/12/11,583.655,21.4769
2020/12/14,566.784,21.9158
2020/12/15,555.866,22.5016
2020/12/16,567.282,22.3063
2020/12/17,578.688,22.3063
2020/12/18,575.712,22.5016
2020/12/21,567.77,22.7945
2020/12/22,568.267,21.5746
2020/12/23,566.784,22.9415
2020/12/24,551.894,22.7945
2020/12/28,515.167,23.9178
2020/12/29,526.583,23.2827
2020/12/30,555.368,23.8685
2020/12/31,559.837,25.8695
2021/1/4,568.267,26.2601
2021/1/5,579.186,25.7236
2021/1/6,592.095,25.8212
2021/1/7,564.296,27.1388
2021/1/8,568.765,32.4595
2021/1/11,586.631,31.6291
2021/1/12,585.646,31.5808
2021/1/13,591.598,31.922
2021/1/14,624.851,32.0196
2021/1/15,640.239,30.4584
2021/1/18,652.143,31.2385
2021/1/19,650.162,31.2385
2021/1/20,674.478,32.996
2021/1/21,677.454,32.5078
2021/1/22,685.894,31.2385
2021/1/25,760.842,32.996
2021/1/26,713.196,32.6054
2021/1/27,696.315,30.9456
2021/1/28,675.971,28.7986
2021/1/29,676.468,27.6753
2021/2/1,706.736,28.0659
2021/2/2,719.148,29.2868
2021/2/3,730.564,28.7493
2021/2/4,730.066,28.1152
2021/2/5,727.588,27.4317
2021/2/8,731.062,27.5777
2021/2/9,735.033,28.6034
2021/2/10,755.377,29.2375
2021/2/11,751.406,29.1399
2021/2/16,739.492,29.5304
2021/2/17,751.904,29.4821
2021/2/18,741.98,28.701
2021/2/19,735.531,28.554
2021/2/22,708.229,27.6753
2021/2/23,701.779,26.8459
2021/2/24,681.923,25.2837
2021/2/25,686.392,25.9672
2021/2/26,657.607,24.6003
2021/3/1,691.856,25.4307
2021/3/2,692.841,25.333
2021/3/3,717.655,25.5283
2021/3/4,684.899,24.0638
2021/3/5,673.98,23.7709
2021/3/8,637.751,21.5252
2021/3/9,639.244,21.9158
2021/3/10,653.636,22.5016
2021/3/11,675.473,23.3803
2021/3/12,645.693,23.1851
2021/3/15,623.358,22.6969
2021/3/16,625.847,23.3803
2021/3/17,619.885,23.9661
2021/3/18,635.77,24.1121
2021/3/19,623.358,23.3803
2021/3/22,628.823,23.5756
2021/3/23,623.856,22.0134
2021/3/24,618.889,19.4266
2021/3/25,601.521,19.2116
2021/3/26,615.416,19.9641
2021/3/29,607.483,19.4266
2021/3/30,604.995,19.5242
2021/3/31,605.492,19.3092
2021/4/1,649.167,20.0617
2021/4/7,624.851,19.9147
2021/4/8,615.416,20.257
2021/4/9,615.913,20.2077
2021/4/12,608.966,18.7826
2021/4/13,603.512,18.7826
